Date,Investitionsgüter,Konsumgüter,Verbrauchsgüter,Energie,Zwischenprodukte,Fertigungsindustrie,GesamteProduktion
2019-09,-3.5,-1.3,-9.9,-10.9,-4.5,-4.7,-5.0
2019-10,-8.2,1.6,-3.3,-5.8,-3.9,-5.6,-5.6
2019-11,-4.3,3.8,-0.9,-3.8,-3.6,-3.4,-3.5
2019-12,-7.7,2.6,-2.2,-7.0,-6.4,-6.2,-6.3
2020-01,-3.6,-2.0,-1.6,-9.1,-2.3,-2.7,-3.2
2020-02,-5.6,-1.9,2.9,-5.0,-0.1,-2.3,-2.5
2020-03,-20.9,-13.6,-5.0,-10.4,-7.6,-13.7,-13.5
2020-04,-44.8,-27.8,-12.1,-16.9,-19.1,-30.1,-29.3
2020-05,-31.1,-15.6,-12.6,-14.7,-19.3,-23.7,-23.2
2020-06,-17.9,-8.5,-4.9,-5.5,-13.9,-14.4,-13.9
2020-07,-15.8,-7.0,-3.9,-6.1,-10.5,-11.9,-11.6
