Tag,Deutschland,Frankreich,Spanien,USA,Italien,Russland,UK,Brasilien,Indien
1,150,100,120,104,124,114,134,121,100
2,188,100,165,174,229,147,189,200,114
3,240,191,222,222,374,199,246,234,129
4,349,212,259,337,528,253,295,291,143
5,534,282,400,451,650,306,374,428,169
6,639,420,500,519,888,367,429,621,194
7,847,613,673,711,1100,438,483,904,249
8,1112,939,1073,1109,1700,495,630,1128,332
9,1139,1100,1695,1561,2000,658,889,1546,396
10,1296,1412,2277,2149,2502,840,1301,1891,499
11,1567,1774,2277,2859,3089,1036,1790,2201,536
12,2369,2269,5232,2955,3858,1264,2270,2433,657
13,3062,2860,6391,4336,4636,1534,2634,2915,727
14,3795,3640,7798,6112,5883,1837,3077,3417,887
15,4838,4469,9942,8871,7400,2337,3692,3904,987
16,8084,5437,11748,14250,9172,2777,4462,4256,1024
17,9360,6664,13910,19624,10149,3548,5467,4579,1251
18,12327,7695,17963,26747,12462,4149,6533,5717,1397
19,18361,9054,20410,35224,15113,4731,7791,6836,1998
20,21828,11010,25374,46450,17660,5389,9006,7910,2543
21,23129,12632,28572,55225,21157,6343,10395,9056,3059
22,24873,14485,35136,69197,24747,7497,12744,10278,3588
23,30081,16246,39885,97028,27980,8672,15126,11130,4289
24,33593,21378,49515,112468,31506,10131,17843,12056,4778
25,39355,24566,57786,124763,35713,11917,20970,13717,5351
26,50178,27456,65719,143025,41035,13584,24219,15927,5916
27,53340,32964,73235,164610,53578,15770,27062,17857,6725
28,58247,37557,80110,190089,59138,18328,29954,19638,7600
29,62435,40174,87956,226374,63927,21102,34281,20727,8446
30,68180,40723,95923,245573,69176,24490,38815,22169,9205
31,74508,45170,104118,278458,74386,27938,43789,23430,10453
32,81728,52836,112065,312245,80539,32008,48718,25262,11487
33,84794,57763,119199,337646,86498,36793,53699,28320,12370
34,91159,65229,126168,379965,92472,42853,57772,30425,13430
35,96108,83029,131646,402923,97689,47121,61422,33682,14352
36,100123,90864,136675,432438,101739,52763,66738,36599,16365
37,105604,93780,141942,466299,105792,57999,72224,38654,17615
38,109329,98984,148220,501615,110574,62773,77387,40581,18539
39,113296,103061,153222,530006,115242,68622,82293,43079,20080
40,118235,107696,158273,557663,119827,74588,86660,45757,21370
41,122171,113927,163027,584073,124632,80949,90273,49492,23039
42,125452,118178,166831,609685,128948,87147,93812,52995,24447
43,127854,120633,170099,639664,132547,93558,98017,58509,26283
44,131100,124298,172541,671425,135586,99399,102365,61888,27890
45,132210,130253,177644,706779,139422,106498,107465,66501,29451
46,134753,133644,184948,735287,143626,114431,112808,71886,31324
47,138221,140772,190839,759766,147577,124054,117798,78162,33062
48,141483,143116,191726,804194,152271,134687,122534,85380,34863
49,143779,146782,198674,830789,156363,145268,126394,91589,37257
50,145742,147844,200210,845959,159516,155370,131260,96559,39699
51,148007,150278,204178,880112,162488,165929,136035,101147,42505
52,149044,153531,208389,924576,165155,177160,141540,107780,46437
53,151195,155944,213024,943865,168941,187859,146708,114715,49400
54,153129,158183,202990,979077,172434,198676,151689,125218,52987
55,155418,159467,205905,1002498,175925,209688,155453,135106,56351
56,157114,161488,207634,1028217,178972,221344,158926,145328,59695
57,158213,162100,209465,1053036,181228,232243,163630,156061,62808
58,159038,163273,210773,1084066,183957,242271,168357,162699,67161
59,160943,165911,212917,1104161,187327,252245,173807,169143,70768
60,162123,166420,213435,1133069,189973,262843,178771,177602,74292
61,164077,166628,215216,1166083,192994,272043,183501,189157,78055
62,164077,167305,216582,1181885,195351,281752,186731,202918,81997
63,165016,167346,217466,1212123,197675,290678,189708,218223,85784
64,165745,168518,218011,1228609,201505,299941,193091,233142,90648
65,166424,168962,219329,1263052,203591,308705,196780,241080,95698
66,167372,169583,220325,1283929,205463,317554,200616,255368,100328
67,168162,170694,221447,1309698,207428,326448,204387,271885,106475
68,169430,174224,222857,1329799,207428,335882,207439,293357,112028
69,170588,174918,223578,1354504,209328,344481,209589,310921,118226
70,171324,176202,224350,1375949,210717,353427,211911,330890,124794
71,171879,176782,227436,1400500,211938,362342,215500,347398,131423
72,172812,177094,228030,1427867,213013,370680,218895,363618,138536
73,173647,177547,228691,1444870,214457,379051,222195,376669,144950
74,174284,178060,229540,1468577,215858,387623,224813,392360,150793
75,175233,178184,230183,1486742,217185,396575,227334,414661,158086
76,175715,178994,230698,1508957,218268,405843,229406,438812,165386
77,176244,179365,230698,1528661,219070,414328,231232,468338,173491
78,176551,179630,231606,1564325,219814,423186,233809,498440,181827
79,177289,179693,232037,1588322,221216,431715,236867,514849,190609
80,178055,180051,232555,1602148,222104,440538,239579,529405,198370
81,178473,180933,233037,1622990,223096,449256,242133,556668,207191
82,179278,181201,234824,1643499,223885,458102,244174,583980,216824
83,179776,181951,235290,1662768,224765,467073,245682,615870,226713
84,179986,182015,235772,1689145,225435,476043,247037,646006,236184
85,180338,182036,235400,1708896,225886,484632,248650,673587,246622
86,181200,182709,236259,1725258,226699,493023,250309,691962,257486
87,181524,182847,236259,1744864,227364,501800,252118,707412,265928
88,182196,183038,237906,1766078,228006,510761,253854,739503,274780
89,182922,186364,238564,1784040,228658,519458,255362,739503,287155
90,183189,186923,239228,1811277,229327,528267,256469,772416,298283
91,183410,188752,239479,1831821,229858,536484,257539,802828,309603
92,183594,189009,239638,1851520,230158,544725,258983,828810,321626
93,183771,189348,239932,1872660,230555,552549,260453,850514,332783
94,184097,188450,240326,1897224,231139,560279,261802,867624,343091
95,184427,188802,240660,1920693,231732,568292,263040,888271,354065
96,184924,189569,240978,1942363,232248,576162,264150,923189,366946
97,185452,190180,241310,1961512,232664,583879,264944,955377,380532
98,185750,190759,241550,1979971,232997,591465,265662,978142,395048
99,186109,191102,241717,2000464,233197,598878,266756,1033496,410451
100,186506,191313,241966,2015365,233515,606043,267915,1033496,425282
101,186522,191523,242280,2049563,233836,613148,269101,1083341,440215
102,186691,192068,242707,2075455,234013,619936,270108,1106470,456183
103,187226,192819,243209,2094069,234531,626779,271162,1145906,473105
104,187267,193546,243605,2114026,234801,633563,272050,1188631,490401
105,187518,194072,243928,2137731,234998,640246,272857,1228114,508953
106,187682,194479,244109,2163290,235278,653479,273888,1274974,528859
107,188252,194631,244328,2191200,235561,653479,274971,1314566,548318
108,188422,194975,244683,2223741,235763,660231,275970,1344143,566841
109,189817,195900,245268,2255306,236142,666941,276990,1368195,585481
110,190299,196711,245575,2280969,236305,673564,277974,1402041,604641
111,190670,196083,245938,2312302,236651,680283,278640,1448753,625544
112,191272,197352,246272,2347102,236989,686777,279264,1496858,648315
113,191768,197636,246504,2381369,237290,693215,280156,1539845,673165
114,192437,198009,246752,2422312,237500,699749,281038,1577356,697413
115,192786,198526,247086,2467837,237828,706240,281815,1603055,719664
116,193371,198607,247486,2515246,238159,712863,282512,1623284,742417
117,194036,198607,247905,2549069,238011,719449,283151,1668589,767296
118,194458,200195,248469,2590582,238275,726036,283785,1713160,793802
119,194693,200195,248770,2636538,238499,732547,284192,1755779,820916
120,195042,199476,248970,2686587,238720,738787,284812,1801725,849522
121,195758,201522,249271,2739879,238833,751612,285216,1842395,878254
122,196300,202063,249659,2749863,239410,758001,285279,1865748,906752
